episode: 0, epsilon: 0.5, loss: 0, win_rate: [ 0.  0.  1.]
episode: 2000, epsilon: 0.5250899999998858, loss: 0.2945, win_rate: [ 0.09445277  0.46676662  0.43878061]
episode: 4000, epsilon: 0.555159999999749, loss: 0.0483606, win_rate: [ 0.11897026  0.45188703  0.42914271]
episode: 6000, epsilon: 0.5846699999996147, loss: 0.0617657, win_rate: [ 0.12631228  0.44009332  0.4335944 ]
episode: 8000, epsilon: 0.6143199999994797, loss: 0.0887938, win_rate: [ 0.13773278  0.43232096  0.42994626]
episode: 10000, epsilon: 0.6440799999993443, loss: 0.0697613, win_rate: [ 0.1469853   0.4309569   0.42205779]
episode: 12000, epsilon: 0.6736599999992097, loss: 0.0504912, win_rate: [ 0.15507041  0.42479793  0.42013166]
episode: 14000, epsilon: 0.703459999999074, loss: 0.0890487, win_rate: [ 0.16213128  0.41975573  0.41811299]
episode: 16000, epsilon: 0.7327599999989407, loss: 0.0360363, win_rate: [ 0.16648959  0.41816136  0.41534904]
episode: 18000, epsilon: 0.7621099999988071, loss: 0.0938439, win_rate: [ 0.17132382  0.41331037  0.41536581]
episode: 20000, epsilon: 0.7914399999986736, loss: 0.0530558, win_rate: [ 0.17579121  0.41072946  0.41347933]
episode: 22000, epsilon: 0.8209299999985394, loss: 0.162449, win_rate: [ 0.18085542  0.40843598  0.4107086 ]
episode: 24000, epsilon: 0.8503999999984053, loss: 0.0342156, win_rate: [ 0.18653389  0.4054831   0.407983  ]
episode: 26000, epsilon: 0.879479999998273, loss: 0.104467, win_rate: [ 0.19176186  0.40225376  0.40598439]
episode: 28000, epsilon: 0.9, loss: 0.0211573, win_rate: [ 0.19745723  0.39859291  0.40394986]
episode: 30000, epsilon: 0.9, loss: 0.0851524, win_rate: [ 0.20195993  0.39672011  0.40131996]
episode: 32000, epsilon: 0.9, loss: 0.106228, win_rate: [ 0.20621231  0.39548764  0.39830005]
episode: 34000, epsilon: 0.9, loss: 0.0472208, win_rate: [ 0.20940561  0.39425311  0.39634128]
episode: 36000, epsilon: 0.9, loss: 0.0424313, win_rate: [ 0.21191078  0.39298908  0.39510014]
episode: 38000, epsilon: 0.9, loss: 0.137321, win_rate: [ 0.21486277  0.39088445  0.39425278]
episode: 40000, epsilon: 0.9, loss: 0.086276, win_rate: [ 0.21736957  0.38914027  0.39349016]
episode: 42000, epsilon: 0.9, loss: 0.0411554, win_rate: [ 0.21997095  0.38806219  0.39196686]
episode: 44000, epsilon: 0.9, loss: 0.0811864, win_rate: [ 0.2226313   0.38635486  0.39101384]
episode: 46000, epsilon: 0.9, loss: 0.0357934, win_rate: [ 0.22523423  0.38520902  0.38955675]
episode: 48000, epsilon: 0.9, loss: 0.0882131, win_rate: [ 0.22745359  0.38330451  0.38924189]
episode: 50000, epsilon: 0.9, loss: 0.0540792, win_rate: [ 0.22907542  0.38265235  0.38827223]
episode: 52000, epsilon: 0.9, loss: 0.0430649, win_rate: [ 0.22988019  0.38168497  0.38843484]
episode: 54000, epsilon: 0.9, loss: 0.0392573, win_rate: [ 0.23182904  0.38003     0.38814096]
episode: 56000, epsilon: 0.9, loss: 0.0997899, win_rate: [ 0.23404939  0.37901109  0.38693952]
episode: 58000, epsilon: 0.9, loss: 0.0652466, win_rate: [ 0.23599593  0.3778728   0.38613127]
episode: 60000, epsilon: 0.9, loss: 0.26159, win_rate: [ 0.23766271  0.37667706  0.38566024]
episode: 62000, epsilon: 0.9, loss: 0.0388225, win_rate: [ 0.23954452  0.37599394  0.38446154]
episode: 64000, epsilon: 0.9, loss: 0.0423146, win_rate: [ 0.2414181   0.37518164  0.38340026]
episode: 66000, epsilon: 0.9, loss: 0.0677372, win_rate: [ 0.24328419  0.37388827  0.38282753]
episode: 68000, epsilon: 0.9, loss: 0.0319142, win_rate: [ 0.24561404  0.37289158  0.38149439]
episode: 70000, epsilon: 0.9, loss: 0.0202877, win_rate: [ 0.2476536   0.37175183  0.38059456]
episode: 72000, epsilon: 0.9, loss: 0.0463033, win_rate: [ 0.24962153  0.37060596  0.3797725 ]
episode: 74000, epsilon: 0.9, loss: 0.249103, win_rate: [ 0.25090201  0.37013013  0.37896785]
episode: 76000, epsilon: 0.9, loss: 0.0254147, win_rate: [ 0.25229931  0.36931093  0.37838976]
episode: 78000, epsilon: 0.9, loss: 0.0734374, win_rate: [ 0.25362495  0.36879014  0.3775849 ]
episode: 80000, epsilon: 0.9, loss: 0.0659173, win_rate: [ 0.25448432  0.36878289  0.37673279]
episode: 82000, epsilon: 0.9, loss: 0.0234815, win_rate: [ 0.25548469  0.36789795  0.37661736]
episode: 84000, epsilon: 0.9, loss: 0.0362075, win_rate: [ 0.25672313  0.36747182  0.37580505]
episode: 86000, epsilon: 0.9, loss: 0.159669, win_rate: [ 0.25755514  0.36656551  0.37587935]
episode: 88000, epsilon: 0.9, loss: 0.0226907, win_rate: [ 0.25881524  0.36621175  0.37497301]
episode: 90000, epsilon: 0.9, loss: 0.03181, win_rate: [ 0.26007489  0.36567371  0.3742514 ]
episode: 92000, epsilon: 0.9, loss: 0.0713771, win_rate: [ 0.26102977  0.36521342  0.37375681]
episode: 94000, epsilon: 0.9, loss: 0.0475698, win_rate: [ 0.261827    0.36494293  0.37323007]
episode: 96000, epsilon: 0.9, loss: 0.131037, win_rate: [ 0.26272643  0.3643712   0.37290237]
episode: 98000, epsilon: 0.9, loss: 0.0853201, win_rate: [ 0.26351772  0.36355751  0.37292477]
episode: 100000, epsilon: 0.9, loss: 0.0277419, win_rate: [ 0.26419736  0.36332637  0.37247628]
episode: 102000, epsilon: 0.9, loss: 0.0351002, win_rate: [ 0.26505622  0.3631533   0.37179047]
episode: 104000, epsilon: 0.9, loss: 0.0918793, win_rate: [ 0.26575706  0.3626119   0.37163104]
episode: 106000, epsilon: 0.9, loss: 0.0439326, win_rate: [ 0.26678994  0.36208149  0.37112857]
episode: 108000, epsilon: 0.9, loss: 0.115934, win_rate: [ 0.26780308  0.36199665  0.37020028]
episode: 110000, epsilon: 0.9, loss: 0.0483172, win_rate: [ 0.26868847  0.3615058   0.36980573]
episode: 112000, epsilon: 0.9, loss: 0.0893005, win_rate: [ 0.26972973  0.36096106  0.3693092 ]
episode: 114000, epsilon: 0.9, loss: 0.102788, win_rate: [ 0.27062043  0.3603828   0.36899676]
episode: 116000, epsilon: 0.9, loss: 0.10074, win_rate: [ 0.27141145  0.36022103  0.36836751]
